,PCE,Molecule SMILE,SMILES
2577,0.06,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)C=C(C#N)C#N)N(c1ccc(cc1)C(=O)O)c1ccccc1,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)C=C(C#N)C#N)N(c1ccc(cc1)C(=O)O)c1ccccc1
2578,0.058,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)C(=O)O)c1ccccc1)c1ccc(s1)c1ccc(s1)C=C(C#N)C#N,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)C(=O)O)c1ccccc1)c1ccc(s1)c1ccc(s1)C=C(C#N)C#N
2579,0.053,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)C(=O)O)c1ccccc1)c1ccc(s1)C=C1C(=O)N(CC)C(=S)N(C1=O)CC,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)C(=O)O)c1ccccc1)c1ccc(s1)C=C1C(=O)N(CC)C(=S)N(C1=O)CC
2580,0.093,N#CC(=Cc1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)C#N,N#CC(=Cc1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)C#N
2581,6.9,N#CC(=CC1COc2c(O1)c(sc2COCCCCCCCCOCc1sc(c2c1OCC(O2)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,N#CC(=CC1COc2c(O1)c(sc2COCCCCCCCCOCc1sc(c2c1OCC(O2)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O
2582,5.0,CCCCN1c2ccc(cc2C(/C/1=C/C=C\C1=[N+](CCCC)c2c(C1(C)C)c1ccc(cc1cc2)c1nnn(c1)CCn1c(=O)c2cccc3c2c(c1=O)ccc3c1[nH]nnc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)(C)C)C(=O)O.[I-],CCCCN1/C(=C\C=C/C2=[N+](CCCC)c3ccc4cc(-c5cn(CCN6C(=O)c7cccc8c(-c9[nH]nnc9-c9ccc(N(c%10ccccc%10)c%10ccccc%10)cc9)ccc(c78)C6=O)nn5)ccc4c3C2(C)C)C(C)(C)c2cc(C(=O)O)ccc21
2583,0.22,CCn1o/c(=c/2\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)N(C)C)sc(=O)n2CC(=O)O)/sc1=S,CCn1o/c(=c/2\\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)N(C)C)sc(=O)n2CC(=O)O)/sc1=S
2584,2.12,CCn1o/c(=c/2\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)N(c3ccccc3)c3ccccc3)sc(=O)n2CC(=O)O)/sc1=S,CCn1o/c(=c/2\\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)N(c3ccccc3)c3ccccc3)sc(=O)n2CC(=O)O)/sc1=S
2585,4.08,COc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)c1ccc(cc1)C=c1sc(=O)n(/c/1=c\1/on(c(=S)s1)CC)CC(=O)O,COc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)c1ccc(cc1)C=c1sc(=O)n(/c/1=c\\1/on(c(=S)s1)CC)CC(=O)O
2586,4.34,CCCCCCCCCCC1(CCCCCCCC)C(=[N+](c2c1cc(cc2)C(=O)O)CCCCCC)/C=C/c1cc2c3c(c1)C(C)(C)c1c4N3c3c(C2(C)C)cccc3C(c4ccc1)(C)C.[I-],CCCCCCCCCCC1(CCCCCCCC)C(/C=C/c2cc3c4c(c2)C(C)(C)c2cccc5c2N4c2c(cccc2C3(C)C)C5(C)C)=[N+](CCCCCC)c2ccc(C(=O)O)cc21
