model_id,family,impute_method,split,R2_train,MAE_train,R2_test,MAE_test
rf_most_frequent_split3,rf,most_frequent,3,0.9401655646288688,0.443893149550047,0.36098822571303646,1.6224431664444456
rf_most_frequent_split4,rf,most_frequent,4,0.9389215368406507,0.4539751586468243,0.5416015824627582,1.2761321018151324
rf_most_frequent_split5,rf,most_frequent,5,0.9398121082654313,0.4402025957145329,0.029531112206205745,1.9628394675856295
rf_most_frequent_split6,rf,most_frequent,6,0.9401769295405642,0.44736012174856704,0.5241540128790549,1.3312221856379405
rf_most_frequent_split7,rf,most_frequent,7,0.938522549286337,0.4497312464231666,0.5651007004162877,1.296922403494143
rf_most_frequent_split8,rf,most_frequent,8,0.9393700395355372,0.45576197051992356,0.5315195617023163,1.1912691050482087
rf_most_frequent_split9,rf,most_frequent,9,0.9382444725956358,0.4571642207051998,0.5671664253066191,1.2339101978706113
rf_KNN_imputation_split0,rf,KNN_imputation,0,0.9226043106947038,0.5176857273854594,0.5857061207624605,1.2980090367614951
rf_KNN_imputation_split1,rf,KNN_imputation,1,0.9183292815422333,0.5326369773722895,0.5851647675345828,1.295219249889724
rf_KNN_imputation_split2,rf,KNN_imputation,2,0.9192199723868248,0.5278198603709219,0.5404827077376861,1.3083832877045722
rf_KNN_imputation_split3,rf,KNN_imputation,3,0.9189373942381983,0.5265944541594595,0.2918368791714172,1.7207234859190286
rf_KNN_imputation_split4,rf,KNN_imputation,4,0.9219065706471864,0.5255356303383678,0.547181435465699,1.2772081017955037
rf_KNN_imputation_split5,rf,KNN_imputation,5,0.9184977359152584,0.521842558666877,-0.08458061389842775,2.075161002272713
rf_KNN_imputation_split6,rf,KNN_imputation,6,0.9217200290244227,0.5212800611809258,0.500482374186497,1.3615777046074105
rf_KNN_imputation_split7,rf,KNN_imputation,7,0.9209703795838389,0.5214901007435325,0.5347189668527417,1.3295168167078983
rf_KNN_imputation_split8,rf,KNN_imputation,8,0.9225072984287984,0.5261801908578401,0.5291548475569514,1.186776874898323
rf_KNN_imputation_split9,rf,KNN_imputation,9,0.9200509834796646,0.5308461333326241,0.5724687474070461,1.2409658239611954
mlp_mean_split0,mlp,mean,0,0.8928686907694128,0.5483525451933724,0.5546860331031651,1.3319062513441564
mlp_mean_split1,mlp,mean,1,0.9177278915151295,0.42657434469093525,0.5634684539257573,1.2876050912698023
mlp_mean_split2,mlp,mean,2,0.9012336896454244,0.4711975190810449,0.5447945190788642,1.2800089023494825
mlp_mean_split3,mlp,mean,3,0.8922983825522297,0.5419220217628735,0.1623400790426488,1.8312169709707524
mlp_mean_split4,mlp,mean,4,0.9133465963423674,0.4613574880293855,0.4964357861891856,1.3108581078945198
mlp_mean_split5,mlp,mean,5,0.9327892181227871,0.3924327674026693,0.2788741146116831,1.7305974128480068
mlp_mean_split6,mlp,mean,6,0.9031777237521451,0.4835088939670408,0.5626499473538636,1.2744771235260872
mlp_mean_split7,mlp,mean,7,0.8753961768129808,0.5998159489762704,0.5828416634620878,1.243686120794817
mlp_mean_split8,mlp,mean,8,0.8720075285542098,0.6113249709359528,0.4866655209735554,1.241129382042087
mlp_mean_split9,mlp,mean,9,0.8934605699475735,0.5386555112139974,0.5737906892541106,1.2138252330072599
mlp_most_frequent_split0,mlp,most_frequent,0,0.8751274686693539,0.6161795012316291,0.5697984711420202,1.3176727251851617
mlp_most_frequent_split1,mlp,most_frequent,1,0.9178633991913079,0.4364759030749313,0.5254392065651476,1.3422146563718158
mlp_most_frequent_split2,mlp,most_frequent,2,0.8937207411532516,0.5344411386827911,0.5654814223381948,1.301129479071812
mlp_most_frequent_split3,mlp,most_frequent,3,0.9025355360045957,0.5054460732534403,0.3643585647518546,1.620736510137409
mlp_most_frequent_split4,mlp,most_frequent,4,0.9086957522729323,0.5065565097765549,0.5335165869621261,1.2740999602475298
mlp_most_frequent_split5,mlp,most_frequent,5,0.9192193512284198,0.45246679463907796,0.22258618691861154,1.7385045490564432
mlp_most_frequent_split6,mlp,most_frequent,6,0.8944890612066704,0.5323144795301135,0.483265059175499,1.3374027881388864
